Sales Report for Hopin Express,,,,,,,,,,
Report for 3 Months Commencing Wednesday 1st October 2025,,,,,,,,,,
,,,,,,,,,,
All Wholesalers,1414 Products Sold for Wholesaler,,,,,,,,,
Alcohol,196 Products Sold in Category,,,,,,,,,
Alcohol Beer,38 Products Sold in Sub Category,,,,,,,,,
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
5053990178490,,Pringles Bbq Pm 2.99,20.00%,2.99,3,8.97,1.5,3.5,3.98,53.20%
5053990172191,,Pringles Original Pm1.25,20.00%,1.25,3,3.63,0.6,2.37,0.65,21.60%
5053990178407,,Pringles Original Pm2.99,20.00%,2.99,1,2.99,0.5,1.17,1.33,53.20%
5053990178551,,Pringles P/Cocktail 2.99,20.00%,2.99,2,5.08,0.85,2.58,1.65,39.10%
5053990178469,,Pringles Salt & Vin 2.99,20.00%,2.99,1,2.99,0.5,1.75,0.74,29.80%
5053990181186,,Pringles Sour Cr Onion Pm299,20.00%,2.99,5,14.05,2.34,8.74,2.97,25.30%
5000328037110,,Quavers Cheese 1.35,20.00%,1.35,20,23.85,3.98,14.79,5.09,25.60%
7622201386573,,Ritz Cracker Pm1.49,0.00%,1.49,4,5.96,0,4.53,1.43,24.00%
0712179202559,,roasted makhana,20.00%,1.95,1,1.76,0.29,1.1,0.37,25.00%
0712179202535,,roasted makhana,20.00%,1.95,4,7.61,1.27,4.4,1.94,30.60%
5000237206218,,Space Raiders Beef 1.35,20.00%,1.35,8,10.8,1.8,5.75,3.25,36.20%
5000328037189,,Squares Salt Vin Pm1.35,20.00%,1.00-1.35,10,10.05,1.68,7.14,1.24,14.80%
5010052114230,,T/A/S Spicy Pm1.00,20.00%,1,19,18.5,3.08,10.46,4.95,32.10%
5000168041520,,Tuc Pm1.59,0.00%,1.59,9,14.21,0,9.99,4.22,29.70%
5000328036526,,Walker Cheese&Onion 1.35,20.00%,1.35,5,6.75,1.12,4,1.63,28.90%
5000328036588,,Walker Ready Salted 1.35,20.00%,1.35,4,5.4,0.9,3.2,1.3,28.90%
5000328036991,,Walkers Mm P/Oni 1.35,20.00%,1.35,4,5.4,0.9,2.69,1.81,40.20%
5000328036618,,Walkers Salt&Vineg 1.35,20.00%,1.00-1.35,2,1.97,0.33,1.6,0.04,2.60%
5000328037271,,Wotsits Cheese Pm1.35,20.00%,1.35,8,10.8,1.8,6.4,2.6,28.90%
Sub Category Totals for Snacks PM,,,,,263,335.94,47.82,199.72,88.4,30.70%
,,,,,,,,,,
Category Totals for Snacks,,,,,1286,1571.11,127.91,969.28,403.91,32.80%
,,,,,,,,,,
,,,,,,,,,,
Stationery,1 Products Sold in Category,,,,,,,,,
Stationery,1 Products Sold in Sub Category,,,,,,,,,
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
5056709013167,,Gift Bag Medium,20.00%,1.99,1,1.99,0.33,0.5,1.16,69.80%
Sub Category Totals for Stationery,,,,,1,1.99,0.33,0.5,1.16,69.80%
,,,,,,,,,,
Category Totals for Stationery,,,,,1,1.99,0.33,0.5,1.16,69.80%
,,,,,,,,,,
,,,,,,,,,,
Tobacco Sundr,27 Products Sold in Category,,,,,,,,,
Tobacco Sundr,27 Products Sold in Sub Category,,,,,,,,,
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
8412765508905,,Clipper Carousel 144+20,20.00%,1.49,83,121.71,20.29,44.53,56.89,56.10%
8412765674853,,Clipper Gas Can,20.00%,2.09-2.25,4,8.52,1.42,3.73,3.37,47.50%
0716165179894,,Elements Ultra Thin Rice King ,20.00%,1.10-1.49,5,6.28,1.05,2.5,2.74,52.30%
5060066940004,,Gsd 40 Safety Matches,20.00%,0.49,4,1.96,0.33,0.16,1.47,90.20%
5060963476309,,Magnetic Grinder,20.00%,2.99,9,26.91,4.49,2.99,19.43,86.70%
5028181122866,,Magnum Lighter Disposable,20.00%,0.79-1.00,20,18.95,3.16,1.4,14.39,91.10%
30107014,,Ocb Premium Slim & Tips,20.00%,1.63-1.69,21,34.83,5.8,9.84,19.19,66.10%
3057067336327,,Ocb Virgin Slim & Tips,20.00%,1.63,8,13.01,2.17,3.75,7.09,65.40%
0716165284888,,Raw Black Connoisseur,20.00%,2.09,9,18.81,3.13,8.43,7.24,46.20%
0716165174011,,Raw Clas Conn Ks Pap&Tip,20.00%,1.35-1.79,12,18.96,3.16,6.4,9.4,59.50%
0716165177357,,Raw Classic Ks Slim Pape,20.00%,0.72-0.79,10,7.55,1.26,3,3.29,52.30%
0716165296867,,Raw Cones Triple Pack,20.00%,1.45,10,14.5,2.42,5.53,6.56,54.20%
0716165177395,,Raw Paper Tips,20.00%,0.46,12,5.52,0.92,1.1,3.5,76.10%
54010321,,Rizla Blue Papers,20.00%,0.45,6,2.7,0.45,1.49,0.76,33.80%
50973613,,Rizla Green Papers,20.00%,0.45,38,17.1,2.85,8.93,5.32,37.40%
54010451,,Rizla Ks Combi Silver,20.00%,1.4,1,1.4,0.23,0.68,0.48,41.50%
54009677,,Rizla Ks Silver Papers ,20.00%,1.09,7,7.63,1.27,3.64,2.72,42.80%
54009684,,Rizla Red King Size Cigarette ,20.00%,1.1,2,2.2,0.37,1,0.83,45.50%
54010307,,Rizla Red Regular Cigarette Pa,20.00%,0.45,5,2.25,0.38,1.24,0.63,33.80%
5410133831153,,Rizla Regular Green M/Pack,20.00%,2.25,16,36,6,18.47,11.53,38.40%
54010314,,Rizla Super Thin Silver Regula,20.00%,0.45,6,2.7,0.45,0.96,1.29,57.40%
5011397002275,,Sparkys Metal Smoking Pipe,20.00%,4.99-5.99,4,21.96,3.66,2.33,15.97,87.30%
5000226000285,,Swan Es C/Bur C/Bal Filt,20.00%,1.39,1,1.39,0.23,0.8,0.36,31.00%
50226856,,Swan Ex Menthol Filters,20.00%,1.17-1.19,10,11.8,1.97,4.54,5.29,53.80%
50226894,,Swan Ex Slim Filters,20.00%,1.1,28,30.8,5.13,10.13,15.54,60.50%
5000226200852,,Swan Ultra Slim Filters,20.00%,1.13-1.19,8,9.28,1.55,3.25,4.49,58.00%
5060066942626,,Windproof Lighter,20.00%,0.99-1.20,7,7.77,1.29,2.01,4.46,68.90%
Sub Category Totals for Tobacco Sundr,,,,,346,452.49,75.41,152.82,224.26,59.50%
,,,,,,,,,,
Category Totals for Tobacco Sundr,,,,,346,452.49,75.41,152.82,224.26,59.50%
,,,,,,,,,,
,,,,,,,,,,
Tobacco,50 Products Sold in Category,,,,,,,,,
Tobacco Cigars PM,1 Products Sold in Sub Category,,,,,,,,,
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
5000143934816,,Sterling Dual L/W 7.15,20.00%,7.15,30,214.5,35.75,157.32,21.43,12.00%
Sub Category Totals for Tobacco Cigars PM,,,,,30,214.5,35.75,157.32,21.43,12.00%
,,,,,,,,,,
Tobacco Cigs,38 Products Sold in Sub Category,,,,,,,,,
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
5000143902228,,B&H Blue Ks,20.00%,14.10-14.70,22,315,52.5,244.3,18.2,6.90%
5000143901412,,B&H Blue Superkings,20.00%,14.10-14.73,19,274.2,45.7,212.53,15.97,7.00%
5000143906912,,B&H Silver,20.00%,16.35-16.95,7,117.45,19.57,91.28,6.6,6.70%
5000143958638,,B&H Sky Blue Ks,20.00%,14.73-14.75,3,44.23,7.37,34.27,2.59,7.00%
5000143950939,,Benson & Hedges Ks Gold,20.00%,17.75-18.40,55,986.55,164.43,757.97,64.16,7.80%
5000431027237,,Carlton Bright Sk,20.00%,14.5,1,14.5,2.42,11.32,0.76,6.30%
5000431027169,,Carlton Orig Superkings,20.00%,14.5,1,14.5,2.42,11.32,0.76,6.30%
5000431027084,,Carlton Original,20.00%,13.85,2,27.7,4.62,21.63,1.45,6.30%
5060592005239,,Chesterfield Blue Ks,20.00%,13.2,5,66,11,51.76,3.24,5.90%
5060592005222,,Chesterfield Red Ks,20.00%,12.60-13.20,10,130.8,21.8,102.38,6.62,6.10%
5060592005246,,Chesterfield Red Sk,20.00%,13.25,1,13.25,2.21,10.16,0.88,8.00%
5000431028081,,Jps Real Blue,20.00%,15.6,1,15.6,2.6,12.29,0.71,5.40%
5000431027312,,Lambert Silver,20.00%,14.95,1,14.95,2.49,11.77,0.69,5.60%
5000393182838,,Lucky Strike Blue Ks,20.00%,12.50-13.10,12,150.6,25.1,116.84,8.65,6.90%
5000393182869,,Lucky Strike Blue Sk,20.00%,12.5,1,12.5,2.08,9.7,0.72,6.90%
5060592005260,,Marlboro Ks Gold,20.00%,16.75-17.40,9,153.35,25.56,119.77,8.02,6.30%
5060592005284,,Marlboro Ks Red,20.00%,16.75-17.40,6,102.45,17.07,80.07,5.31,6.20%
5000143923414,,Mayfair King Size Gold,20.00%,12.5,1,12.5,2.08,9.69,0.73,7.00%
5000143951127,,Mayfair Ks Original Blue,20.00%,15.25,1,15.25,2.54,11.94,0.76,6.00%
5000143969429,,Mayfair Superking Gold,20.00%,12.5,1,12.5,2.08,9.69,0.73,7.00%
96191262,,Pall Mall Ks Flow Blue,20.00%,14.15-14.75,6,85.5,14.25,66.78,4.47,6.30%
5000431000834,,Paramount Ks Original,20.00%,13.1,2,19.05,3.17,20.48,-4.6,-29.00%
5000431000865,,Paramount Sk Original,20.00%,12.5,1,12.5,2.08,9.22,1.2,11.50%
5000431026902,,Players Real Red,20.00%,14.10-14.70,5,72.9,12.15,57.37,3.38,5.60%
5000431026995,,Players Real Red Sk ,20.00%,14.10-14.70,9,129.9,21.65,102.18,6.07,5.60%
5000431026117,,Richmond Original,20.00%,13.80-14.40,9,126.6,21.1,98.76,6.74,6.40%
5000431026292,,Richmond Superkings,20.00%,13.8,5,69,11.5,53.34,4.16,7.20%
96184356,,Rothmans Blue King Size,20.00%,14.15-14.75,27,386.85,64.47,303.9,18.47,5.70%
96184394,,Rothmans Blue Sk,20.00%,14.15-14.75,21,297.17,49.53,237.21,10.43,4.20%
96184424,,Royals Red,20.00%,16.9,1,16.9,2.82,13.32,0.76,5.40%
5000143964929,,Sovereign Dual Ks,20.00%,14.25-14.88,4,58.83,9.8,45.63,3.4,6.90%
5000143968118,,Sovereign Ks Blue,20.00%,13.80-14.40,15,210,35,162.69,12.3,7.00%
5000143978735,,Sovereign Ks Sky Blue,20.00%,13.80-14.40,5,69.6,11.6,53.9,4.1,7.10%
5000143996821,,Sovereign Superking Blue,20.00%,13.8,5,69,11.5,53.4,4.1,7.10%
5000143949339,,Sterling Ks Blue,20.00%,14.85-15.45,3,45.75,7.62,35.52,2.6,6.80%
5000143973532,,Sterling Ks Dual,20.00%,15.00-15.60,4,59.22,9.87,47.47,1.88,3.80%
